0	'你知道多伦多附近有什么吗?哈哈有破布耶...真的书上写的你听哦...你家那块破布是世界上最大的破布,哈哈,骗你的啦它是说尼加拉瓜瀑布是世界上最大的瀑布啦...哈哈哈''爸爸,她的头发耶!我们大扫除椅子都要翻上来我看到木头缝里有头发...一定是xx以前夹到的,你说是不是?[生病]	sadness
1	平安夜,圣诞节,都过了,我很难过,和妈妈吵了两天,以死相逼才终止战争,现在还处于冷战中。	sadness
2	我只是自私了一点,做自己想做的事情!	sadness
3	让感动的不仅仅是雨过天晴,还有泪水流下来的迷人眼神。	happiness
4	好日子	happiness
5	每天都学到这么晚。总是兴致勃勃想着明天要七点起床继续看书。就是闹钟从来不知道何时关的。一觉醒来最早也十点了。晚上睡觉倒头就睡过去了。高考都没有这么努力过。真心累。不过过的很充实。最想说的是。这才是他妈的人生啊。。这才是像个人样的活着啊。。[泪][泪][泪][泪][泪]	like
6	终于把身份证办了。	happiness
7	奖学金终于到账呐......终于可以填翻笔数呐~再唔黎我就穷死噶呐~thankgod![嘻嘻][嘻嘻][嘻嘻]	happiness
8	高中的时候,一次上午上课,老师大喊:谁敢不服我!一个同学心血来潮,大喊道:我不服!老师愣了一下,又大喊道:谁敢不服我俩!!老师您是要闹哪样??	happiness
9	汉子你尽快弃暗投明吧我忙得像只狗没空理你啊	sadness
10	相互冲突的两种精神,都值得我们同情。黑格尔	sadness
11	时间或许会冲淡我们的记忆,但定格那一刻的时光将永远凝固或封存,我们都不会忘记。让生命前进的动力也许就是日复一日的安定,把小小的幸福摄取进我们的细胞,让它感知美好的滋味,于是乎我们就会多一点微笑在脸庞,因为这样的你最美。感恩于心,晚安。	happiness
12	永华兄说要性格测试然后重新分组,阿杰气得说,妈的,全填一样的答案。当时真的很感动。前几天我对他们说,我们最后一天的时候拍照留念好不好。被他们集体嫌弃了。今天赖赖他们组在那里照来照去的,我羡慕得对邝说,他们组好好玩。阿漫这时来了一句,我们组不好玩吗?我吼回去,你们又不肯拍!	happiness
13	你给我的惊喜我都一直记得而我总是没有勇气为你做些什么	sadness
14	以后不能做自己喜欢的事而之后又要往哪里前进一片茫然	sadness
15	很简单我不喜欢你玩游戏	anger
16	你也不用说对不起,只是,,,,若相惜	sadness
